tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970593455182164434',Shanah Tovah! Wishing all who celebrate Rosh Hashanah a sweet New Year filled with happiness and peace! https://t.co/uUxfdb1KOy,en,Tweet,0,4,1,0,494,2025-09-23 21:57:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1j0QzGWMAAMidQ.jpg
'1970536162633629841',"A shutdown HURTS Americans.

Yet Democrats like @SenOssoff voted to CLOSE the government to spend more of your hard-earned money.
Make no mistake: If there is a shutdown, it will be the Schumer Shutdown.",en,Tweet,4,44,18,15,3898,2025-09-23 18:10:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970534534404825088/vid/avc1/1280x720/TM5zRWGjgkBAn_7a.mp4?tag=21
'1970505116286386675',"The Trump Administration is boldly tackling our nation’s rising autism rates.
 
Transparency and empowering patients with more information about their health are how we Make America Healthy Again. #MAHA https://t.co/3gx5kNs2Jr",en,Tweet,1,9,1,5,672,2025-09-23 16:06:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#MAHA,,photo,https://pbs.twimg.com/media/G1ijxaTXkAE3Sew.jpg
'1969918781041582167',"God is alive, and he is at work in our country today. 

Thank you, Charlie Kirk, for sharing His message with the world. https://t.co/33kNuAbLKS",en,Tweet,4,213,19,18,13015,2025-09-22 01:16:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969918023713640448/vid/avc1/1280x720/wZyiFNwIcjhpGBIr.mp4?tag=21
'1969916509251346868',"This is a must-watch. 

Her faith, which she boldly shared with her husband Charlie, should inspire us all to come closer to Christ. 

We miss you, Charlie, and we love you, Erika.",en,Tweet,1,21,2,3,1578,2025-09-22 01:07:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969055398364619029',"58 House Democrats just voted against honoring Charlie Kirk's legacy. 

Sick and disgusting.",en,Tweet,0,21,6,8,1053,2025-09-19 16:06:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969042267391295960',"Well deserved👏

Georgia's First Congressional District is grateful for your service and dedication.",en,Tweet,1,11,3,4,1366,2025-09-19 15:13:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968777024467530162',"Under @realDonaldTrump  and Chair @RepGuthrie's  leadership, we are addressing the opioid and fentanyl crises head-on, with unprecedented results.

The SUPPORT Act, which will soon become law, puts another tool in our tool chest to save lives.

@HouseGOP is keeping our communities safe. I’m proud to be a leader in this fight.",en,Tweet,0,67,15,17,8861,2025-09-18 21:39:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968776939335733248/vid/avc1/1280x720/tgZs_oPCaMBN51D3.mp4?tag=21
'1968762220185268363',"As Co-Chair of the South Atlantic Red Snapper Task Force, I am pleased to see the marine fisheries agencies from Georgia, Florida, South Carolina, and North Carolina announce their readiness to coordinate to collect data and manage the South Atlantic red snapper at the state level. 

I look forward to working with them to make red snapper fishing great again!",en,Tweet,0,14,1,3,1629,2025-09-18 20:41:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968740375977156746',"For 78 years, the United States Air Force has excelled in defending our nation. 

Thank you to every past and present servicemember; you embody the very best of America! 🇺🇸 https://t.co/Ehkxkq7cpr",en,Tweet,0,9,0,1,418,2025-09-18 19:14:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JeoGfWsAAdCiZ.jpg
