tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970541812566655182',"At the urging of Trump, Republicans are threatening a government shutdown to gut health care even more. They want:
😷 15 million losing coverage
❌ 20+ million losing low cost plans
⬆️ 75% higher premiums

Democrats can’t let Trump rip health care away from working Americans.",en,Tweet,7,242,108,364,9726,2025-09-23 18:32:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970520032036954395',"As a labor organizer I learned: when the boss blows up talks, it's because they know they're losing.

Democrats must keep up the fight for health care and families.",en,Reply,2,267,30,246,10726,2025-09-23 17:06:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970520029524263062',"Took Trump 434 words, but I can summarize this in 15: Trump wants to shut down the government to slash health care and enrich his friends. https://t.co/IPnWKHw1UK",en,Tweet,560,16320,4703,3897,472496,2025-09-23 17:06:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ixZf3W0AEsLUh.jpg
'1970489411650347108',"Trump’s border czar was caught on tape taking a $50,000 bribe. Then Trump’s DOJ covered it up.

Homan must resign.

Congress must investigate who was involved in this massive scandal. Anyone who committed crimes should be prosecuted. https://t.co/1D0SZoqZci",en,Tweet,17,398,124,596,44521,2025-09-23 15:04:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970489181949321216/vid/avc1/1024x576/FrGMujRBD4BQnMtc.mp4?tag=21
'1970152852313239755',"Donald Trump and Republicans are driving us toward a government shutdown — just to cut health care even more.

They want to end ACA tax credits for over 20 million people. They want to raise premiums by 75%.

They want to betray working families even more.",en,Tweet,15,764,392,466,14255,2025-09-22 16:46:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969821005343580648',"You may not know it, but your health care costs are about to go way up.

If ACA subsidies expire, premiums rise by 75%. 

This isn’t complicated. Democrats need to step up and fight back.",en,Tweet,19,1047,413,486,18152,2025-09-21 18:48:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969730701365850400',"The United States cannot continue to send bombs we know will be used to commit terrible atrocities in Gaza.

I am grateful to @repdeliaramirez  for her leadership and to the members of @USProgressives for recognizing the need to take a stand.

https://t.co/gnky1dykfG",en,Tweet,12,373,82,83,15062,2025-09-21 12:49:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://x.com/prem_thakker/status/1969548569540428053,,
'1969485328281919816',"Millions are about to lose the ability to see a doctor. Millions more will pay higher prices. 

All because Republicans want ACA subsidies gone, Medicaid cut, and a government shutdown to make it happen. 

In a functioning democracy this would be a moral and economic catastrophe.",en,Tweet,20,795,359,678,19457,2025-09-20 20:34:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969431299891826998',"America is hurtling toward a health care crisis. 

With the train barreling towards that disaster, the Republican plan is to rip out the brakes:

😷 Kick 15 million off their health care
❌ End ACA subsidies for 20+ million
⬆️ Jack up your premiums by 75%",en,Tweet,4,34,13,13,1854,2025-09-20 16:59:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969161978754007165',Thanks to @RochelleMGarza and @TXCivilRights for fighting for Sara and for the basic rights of all Americans.,en,Reply,0,15,4,9,1370,2025-09-19 23:09:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
