tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970518725062267326',"It was an honor to be in Swain Co. to celebrate the new FirstNet tower. This project will boost emergency response capabilities for the surrounding region, improving public safety. #100CountyTour
https://t.co/9tXoJhpXNA https://t.co/ucwUOrgtCY",en,Tweet,0,8,2,4,1181,2025-09-23 17:00:49,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#100CountyTour,https://bit.ly/3VlZgYh,photo,"https://pbs.twimg.com/media/G1iwSIyWgAABgKG.jpg,https://pbs.twimg.com/media/G1iwTW1XoAELth-.jpg,https://pbs.twimg.com/media/G1iwUj0XYAAvJ0H.jpg"
'1970187306754556339',LIVE NOW: Sen. Ted Budd Hosts Field Hearing — SBA’s Hurricane Helene Response: One Year Later https://t.co/divtypX8M6,en,Tweet,1,16,3,8,1251,2025-09-22 19:03:52,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1DXGyWnXXkLxM,,
'1970186406694707672',"Tune in now for the @SmallBizCmteGOP hearing evaluating the Small Business Administration’s disaster programs one year after Hurricane Helene ⏬

https://t.co/hPXAjoGBrY",en,Tweet,1,7,0,3,927,2025-09-22 19:00:18,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.sbc.senate.gov/public/index.cfm/2025/9/sba-s-hurricane-helene-response-one-year-later,,
'1970180503064981563',"STARTING SOON: @SmallBizCmteGOP's field hearing in Hendersonville titled ""SBA’s Hurricane Helene Response: One Year Later.""  Tune in at 2 pm HERE: https://t.co/Sp6AXguI2s",en,Tweet,0,4,0,4,925,2025-09-22 18:36:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.sbc.senate.gov/public/index.cfm/hearings?ID=0EE5F012-2509-4FE9-B16A-5048900FD31E,,
'1970126224660787374',"Nothing beats the NC Mountain State Fair—where agriculture, community, and the future of farming come together. 

Spoke with farmers, students, and families about the $220+ million block grant from @USDA for losses from Helene that will help keep WNC agriculture strong. https://t.co/CUGVF3cB4R",en,Tweet,0,14,0,4,1271,2025-09-22 15:01:09,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,"https://pbs.twimg.com/media/G1dLTlhX0AApc-k.jpg,https://pbs.twimg.com/media/G1dLUzGWwAAN2LV.jpg,https://pbs.twimg.com/media/G1dLWBQW8AA7QZv.jpg"
'1969920655941304687',"Today, Americans across our great country honored the life of Charlie Kirk. A bold defender of our Republic, a respected patriot, and a fearless champion of freedom of speech, but most importantly a man of profound and growing faith in the Lord and Savior Jesus Christ. 

I echo the words shared by Charlie’s mentor, North Carolinian @DrFrankTurek, at his memorial service today. May Charlie’s legacy remind us to live with courage and never lose sight of the hope we have in Christ.",en,Tweet,11,433,61,27,31948,2025-09-22 01:24:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969174716616265851',"On Monday I'll be chairing the @SmallBizCmteGOP's field hearing titled “SBA’s Hurricane Helene Response: One Year Later.""

It will stream live at:
https://t.co/hPXAjoGBrY",en,Tweet,0,17,3,13,2154,2025-09-20 00:00:12,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.sbc.senate.gov/public/index.cfm/2025/9/sba-s-hurricane-helene-response-one-year-later,,
'1969099281945546874',"The People’s Republic of China has proven time and time again that its communist government cannot be trusted. I’m joining @SenCortezMasto to ensure the U.S. continues to monitor potential military threats from the CCP.
https://t.co/RLGXQuBoj1",en,Tweet,0,20,3,12,1779,2025-09-19 19:00:27,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.budd.senate.gov/2025/09/19/sens-budd-cortez-masto-lead-bipartisan-fight-to-strengthen-dod-report-on-communist-chinas-military-developments/,,
'1969079892512842030',"Learn more about Col. McNish's remarkable story.

https://t.co/Ivj7IarEHt",en,Reply,0,6,1,3,726,2025-09-19 17:43:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://smokymountainnews.com/archives/item/25900-never-give-up-franklin-native-survived-years-of-torture-in-vietnam-pow-camp,,
'1969079890503745593',"Today, as we remember &amp; honor members of our Armed Forces who were held prisoner &amp; those still missing, I reflect on the remarkable story of NC native Tom McNish. A USAF Col. whose gallantry earned him 3 Silver Stars, he endured more than 2,300 days in captivity in Vietnam. https://t.co/UQtxLx74y5",en,Tweet,0,25,7,6,1224,2025-09-19 17:43:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OToQeWYAApAiQ.jpg,https://pbs.twimg.com/media/G1OTpr5XkAAeckF.jpg"
