tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970164250502115588',Great to welcome Killeen ISD leaders to Washington. We had productive conversations on impact aid and other key issues facing our military families. Always proud to advocate for Central Texas students and service members. https://t.co/rZ8vrfwDeg,en,Tweet,0,3,1,2,328,2025-09-22 17:32:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dt7PdWABwjLXh.jpg
'1968390218823664045',"Always great to see Jason Kim, CEO of @Firefly_Space and constituent. Firefly has done amazing things, including landing on the moon this year. I can’t wait to see what they do next right here in Texas’ 31st district. https://t.co/nL8ZHvxMuj",en,Tweet,2,96,8,2,11290,2025-09-17 20:02:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EgeLKXUAAWwS6.jpg
'1968348902593319269',Today we celebrate #NationalAppChallengeDay!  I encourage all young coders in #TX31 to submit their innovative apps by October 30th. The Congressional App Challenge is your chance to shine and contribute to the future of technology! #Congress4CS https://t.co/cmLF2gqUif,en,Tweet,0,3,0,0,343,2025-09-17 17:18:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#NationalAppChallengeDay,#TX31,#Congress4CS",,photo,https://pbs.twimg.com/media/G1D6hNhWMAA1e3q.jpg
'1968055701307265263',The deadline to apply for a nomination through my office is October 3rd at 5:00 pm. To learn more: https://t.co/UoT594wLrT,en,Reply,0,2,0,0,245,2025-09-16 21:53:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://Carter.house.gov/academy-nominations,,
'1968055697389859107',"We had a great turn out the 2025 Service Academy Forum this weekend. Over one hundred students who are interested in serving in the U.S. military, came out to learn about the service academy nomination and appointment process. https://t.co/JiT098UKJ1",en,Tweet,0,7,1,4,348,2025-09-16 21:53:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_wOP8WcAASl3X.jpg,https://pbs.twimg.com/media/G0_wOP6WwAAcny-.jpg,https://pbs.twimg.com/media/G0_wOP_WUAAtT1i.jpg,https://pbs.twimg.com/media/G0_wOP9XEAATaa_.jpg"
'1966163265484156990',"Twenty-four years ago, our nation was attacked by evil, and 2,977 innocent souls perished. May we never forget the pain of that day, and the bravery of the first responders who ran toward danger. https://t.co/4jpuOul5Va",en,Tweet,0,5,1,0,479,2025-09-11 16:33:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0k2I2SXAAA0ECE.png
'1965888011771765058',"Charlie was devoted to civil political discourse and respectful debate- a core principle of our country. His death is an immense tragedy that never should've happened. 

We lift Charlie's wife and two children in prayer.",en,Tweet,0,12,1,0,768,2025-09-10 22:20:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965853443094175792',Please join me in praying for Charlie Kirk.,en,Tweet,0,12,0,1,1185,2025-09-10 20:02:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965488044846317639',"In August, my office helped over 200 constituents with issues like delayed IRS refunds and Social Security payments, slow veterans benefits, and passport emergencies. Through those efforts, we returned $736,650 to TX-31 constituents last month.
Learn more about the constituent services my office offers here: https://t.co/UbqFriqW5J",en,Tweet,0,1,0,2,348,2025-09-09 19:50:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bQ5BJWEAAisFh.jpg
'1965129341269885269',"If your son or daughter is interested in attending a United States service academy, I encourage them to attend the 2025 Service Academy Forum this Saturday at Cedar Ridge High School.
Representatives from the service academies, as well as several congressional offices, will be on hand to answer questions about the process and each academy. This a free event with no RSVP necessary.
To learn more about the nomination process: https://t.co/i2UhitEE80",en,Tweet,0,3,0,0,258,2025-09-08 20:05:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0WKtfeXUAAtDAw.jpg
'1962608252169969934',"Today we celebrate the grit, determination and spirit of the American worker that makes our country great 🇺🇸 https://t.co/LCZYKlHTuV",en,Tweet,0,5,0,3,464,2025-09-01 21:07:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzyVybbWgAAesCA.jpg
